,2011,2012,2013,2014,2015,2016
Afghanistan,14.75,15.77000046,16.32999992,16.77000046,17.17000008,17.31999969
Albania,18.87000084,17.28000069,16.87999916,17.73999977,18.67000008,19.37999916
Algeria,30.86000061,30.80999947,30.95999908,30.95999908,30.92000008,30.95000076
American Samoa,0,0,0,0,0,0
Andorra,0,0,0,0,0,0
Angola,7.960000038,7.940000057,7.860000134,7.730000019,7.570000172,7.389999866
Antigua and Barbuda,0,0,0,0,0,0
Argentina,23.96999931,23.65999985,23.95000076,24.15999985,23.65999985,22.87999916
Armenia,16.68000031,17.68000031,17,16.72999954,15.90999985,15.77999973
Aruba,0,0,0,0,0,0
Australia,20.82999992,20.70999908,20.45000076,20.29000092,19.38999939,19.36000061
Austria,26.03000069,26.07999992,25.90999985,25.75,25.76000023,25.55999947
Azerbaijan,14.07999992,14.28999996,14.38000011,14.30000019,14.06000042,14.32999992
"Bahamas, The",15.97000027,15.96000004,15.52000046,15.38000011,14.93999958,14.86999989
Bahrain,35.20999908,34.97000122,35.09999847,35.22999954,35.15999985,35.36000061
Bangladesh,18.07999992,18.55999947,19.02000046,19.45000076,19.95999908,20.45999908
Barbados,18.54999924,18.53000069,18.95999908,19.43000031,19.36000061,19.31999969
Belarus,31.96999931,31.79999924,31.64999962,31.48999977,31.06999969,31.53000069
Belgium,23.22999954,21.76000023,21.70000076,21.38999939,21.43000031,21.26000023
Belize,16.18000031,15.96000004,15.77000046,15.60999966,15.42000008,15.71000004
Benin,18.54999924,18.45999908,18.44000053,18.38999939,18.43000031,18.28000069
Bermuda,0,0,0,0,0,0
Bhutan,9.199999809,9.909999847,10.96000004,10.82999992,9.649999619,9.93999958
Bolivia,20.94000053,20.60000038,19.82999992,20.62999916,22.53000069,20.79000092
Bosnia and Herzegovina,28.88999939,30.36000061,29.81999969,30,30.62999916,31.28000069
Botswana,18.06999969,18.04999924,18.03000069,18.01000023,18.01000023,17.94000053
Brazil,22.30999947,23.02000046,22.95000076,22.88999939,22.17000008,20.88999939
British Virgin Islands,0,0,0,0,0,0
Brunei Darussalam,18.95999908,18.78000069,18.80999947,18.62999916,17.92000008,16.97999954
Bulgaria,31.45999908,31.31999969,30.19000053,30.12000084,29.89999962,29.79000092
Burkina Faso,23.22999954,25.82999992,28.62999916,31.54999924,29.85000038,28.20999908
Burundi,3.130000114,3.25,3.369999886,3.5,3.480000019,3.480000019
Cabo Verde,22.96999931,22.82999992,22.65999985,22.48999977,22.30999947,22.07999992
Cambodia,16.46999931,17.76000023,19.28000069,23.77000046,24.92000008,25.76000023
Cameroon,12.71000004,13.17000008,13.61999989,14.07999992,14.22999954,14.32999992
Canada,20.29000092,20.45999908,20.32999992,20.18000031,19.92000008,19.67000008
Cayman Islands,0,0,0,0,0,0
Central African Republic,7.260000229,7.090000153,6.949999809,6.75,6.559999943,6.460000038
Chad,2.130000114,2.140000105,2.109999895,2.089999914,2.059999943,2.00999999
Channel Islands,28.27000046,27.79000092,27.37999916,27.02000046,26.62000084,26.15999985
Chile,23.37999916,23.82999992,23.87999916,23.48999977,23.28000069,23.01000023
China,29.5,30.29999924,30.10000038,29.89999962,29.18000031,28.79999924
Colombia,20.65999985,20.65999985,19.63999939,19.79000092,19.82999992,19.40999985
Comoros,17.5,17.98999977,18.52000046,19.03000069,19.06999969,19.04999924
"Congo, Dem. Rep.",8.81000042,8.960000038,9.140000343,9.340000153,9.520000458,9.590000153
"Congo, Rep.",23.07999992,22.95999908,22.85000038,22.72999954,22.68000031,22.47999954
Costa Rica,19.25,18.17000008,16.48999977,17.68000031,19.14999962,18.61000061
Cote d'Ivoire,11.31999969,11.52000046,11.81999969,11.97999954,12.10000038,12.26000023
Croatia,27.95000076,27.90999985,27.62999916,26.97999954,26.70999908,26.96999931
Cuba,17.14999962,19.18000031,17.20000076,16.89999962,17.10000038,17.07999992
Curacao,0,0,0,0,0,0
Cyprus,20.89999962,20.17000008,17.55999947,16.52000046,16.22999954,17.04999924
Czech Republic,38.45000076,38.11999893,37.50999832,38.04000092,38.02999878,38.06999969
Denmark,20.04000092,19.77000046,19.63999939,19.37000084,19.42000008,19.04999924
Djibouti,13.13000011,13.14999962,13.18000031,13.25,13.30000019,13.35000038
Dominica,0,0,0,0,0,0
Dominican Republic,18.17000008,18.56999969,17.09000015,17.79000092,18.37000084,19.01000023
Ecuador,17.95000076,17.52000046,19.07999992,19.95999908,19.65999985,18.62999916
"Egypt, Arab Rep.",23.56999969,24.86000061,24.11000061,24.39999962,25.07999992,25.5
El Salvador,21.27000046,20.97999954,20.36000061,20.88999939,22.18000031,21.10000038
Equatorial Guinea,26.14999962,25.45000076,24.72999954,23.87000084,22.79000092,21.81999969
Eritrea,7.78000021,7.699999809,7.619999886,7.579999924,7.489999771,7.429999828
Estonia,32.43000031,31.10000038,30.27000046,30.14999962,30.65999985,29.71999931
Eswatini,25.81999969,25.59000015,25.29000092,25.10000038,24.87000084,24.53000069
Ethiopia,8.090000153,8.25,8.409999847,8.590000153,8.770000458,8.960000038
Faroe Islands,0,0,0,0,0,0
Fiji,16.13999939,15.46000004,15.10000038,14.84000015,14.55000019,14.17000008
Finland,23,22.79000092,22.85000038,21.89999962,21.70000076,22.15999985
France,22.17000008,21.76000023,21.30999947,20.53000069,20.31999969,20.22999954
French Polynesia,16.48999977,16.36000061,16.34000015,16.37000084,16.38999939,16.43000031
Gabon,10.30000019,10.35999966,10.40999985,10.47000027,10.52000046,10.59000015
"Gambia, The",16.09000015,15.90999985,15.72999954,15.63000011,15.47999954,15.34000015
Georgia,10.93999958,10.82999992,10.81999969,11.10000038,11.02000046,11.90999985
Germany,28.23999977,28.19000053,27.78000069,28.04999924,27.69000053,27.37999916
Ghana,13.97999954,14,14.06999969,16.20000076,18.69000053,19.12999916
Gibraltar,0,0,0,0,0,0
Greece,17.69000053,16.54000092,15.56000042,14.97999954,14.93999958,15.25
Greenland,0,0,0,0,0,0
Grenada,0,0,0,0,0,0
Guam,14.92000008,15.01000023,15.09000015,15.17000008,15.21000004,15.26000023
Guatemala,20.73999977,19.5,18.15999985,19.45999908,18.89999962,21.01000023
Guinea,5.429999828,5.449999809,5.489999771,5.53000021,5.590000153,5.639999866
Guinea-Bissau,8.859999657,8.840000153,8.819999695,8.779999733,8.720000267,8.710000038
Guyana,25.02000046,25.05999947,25.12999916,25.21999931,25.09000015,25.06999969
Haiti,6.739999771,6.889999866,6.989999771,7.079999924,7.179999828,6.929999828
Honduras,19.77000046,19.93000031,19.04000092,22.02000046,21.80999947,21.57999992
"Hong Kong SAR, China",12.57999992,12.35999966,12.18999958,12.05000019,11.89999962,11.81000042
Hungary,30.84000015,29.79000092,29.89999962,30.5,30.32999992,30.44000053
Iceland,18.54999924,18.21999931,18.63999939,18.43000031,17.84000015,17.45999908
India,23.10000038,24.36000061,24.37000084,24.45000076,24.54000092,24.73999977
Indonesia,19.98999977,21.06999969,20.95000076,21.39999962,22.04000092,21.71999931
"Iran, Islamic Rep.",33.02999878,33.18000031,33.29000092,33.75999832,32.52999878,31.87999916
Iraq,22.02000046,23.12999916,23.37000084,23.38999939,22.71999931,23.61000061
Ireland,17.45000076,16.97999954,17.22999954,17.29999924,18.11000061,18.54999924
Israel,17.82999992,17.48999977,17.73999977,17.68000031,17.57999992,17.5
Italy,28.29000092,27.57999992,27.04999924,26.89999962,26.60000038,26.12000084
Jamaica,16.05999947,15.46000004,15.22000027,14.93999958,14.93000031,15.65999985
Japan,25.34000015,25.27000046,25.26000023,25.07999992,24.96999931,24.70000076
Jordan,25.85000038,25.60000038,25.39999962,25.11000061,24.88999939,24.62000084
Kazakhstan,18.96999931,19.38999939,19.81999969,20.23999977,20.55999947,20.57999992
Kenya,6.010000229,6.010000229,6.03000021,6.059999943,6.090000153,6.130000114
Kiribati,0,0,0,0,0,0
"Korea, Dem. People’s Rep.",14.86999989,14.68000031,14.46000004,14.26000023,13.77999973,14
"Korea, Rep.",24.85000038,24.57999992,27.57999992,25,25.38999939,25.20000076
Kosovo,0,0,0,0,0,0
Kuwait,23.92000008,24.03000069,23.78000069,23.47999954,22.59000015,22.37999916
Kyrgyz Republic,21.39999962,21.70999908,20.20000076,20.43000031,20.89999962,22.09000015
Lao PDR,8.869999886,9.56000042,10.15999985,10.43999958,10.98999977,11.35000038
Latvia,22.90999985,23.47999954,23.92000008,23.85000038,23.64999962,24.11000061
Lebanon,26.12999916,26.01000023,26.12000084,25.82999992,25.32999992,25.05999947
Lesotho,13.56999969,13.56999969,13.59000015,13.64000034,13.72999954,13.69999981
Liberia,10.81000042,10.81999969,10.81000042,10.75,10.64000034,10.47999954
Libya,27.75,26.82999992,25.25,23.81999969,22.87999916,22.44000053
Liechtenstein,0,0,0,0,0,0
Lithuania,24.55999947,25.07999992,25.53000069,24.71999931,25.06999969,25.13999939
Luxembourg,13.35999966,12.67000008,12.03999996,10.97999954,12.52000046,12.05000019
"Macao SAR, China",12.85999966,12.80000019,12.64000034,15.65999985,15.80000019,13.67000008
Madagascar,6.760000229,7.690000057,7.96999979,8.180000305,8.340000153,8.539999962
Malawi,5.78000021,5.739999771,5.710000038,5.670000076,5.619999886,5.559999943
Malaysia,28.45000076,27.56999969,27.94000053,27.73999977,27.52000046,27.48999977
Maldives,17.14999962,17.29999924,17.54000092,17.95000076,18.38999939,18.76000023
Mali,8.140000343,8.050000191,7.980000019,8,8.260000229,6.71999979
Malta,24.52000046,22.17000008,21.56999969,20.71999931,20.01000023,19.86000061
Marshall Islands,0,0,0,0,0,0
Mauritania,17.87999916,17.89999962,17.86000061,17.86000061,17.84000015,17.77000046
Mauritius,28.13999939,27.98999977,27.39999962,26.76000023,26.11000061,25.42000008
Mexico,24.29999924,24.05999947,24.30999947,24.80999947,25.15999985,25.75
"Micronesia, Fed. Sts.",0,0,0,0,0,0
Moldova,18.75,19.28000069,17.69000053,17.89999962,17.85000038,17.13999939
Monaco,0,0,0,0,0,0
Mongolia,17.34000015,18.17000008,20.42000008,20.71999931,20.29000092,18.98999977
Montenegro,19.54999924,17.92000008,17.77000046,17.55999947,17.45999908,17.46999931
Morocco,21.85000038,21.38999939,21.64999962,21.87000084,22.26000023,22.25
Mozambique,5.760000229,6.179999828,6.650000095,7.150000095,7.75,8.029999733
Myanmar,16.46999931,16.47999954,16.54000092,16.70000076,16.77000046,16.36000061
Namibia,13.96000004,13.88000011,14.43999958,14.82999992,16.98999977,19.32999992
Nauru,0,0,0,0,0,0
Nepal,13.15999985,13.40999985,13.64999962,13.97999954,14.14000034,14.05000019
Netherlands,17.17000008,17.20999908,16.52000046,16.22999954,16.43000031,16.47999954
New Caledonia,22.56999969,22.81999969,22.94000053,22.56999969,22.70000076,22.79000092
New Zealand,20.04999924,19.84000015,19.80999947,20.46999931,21.59000015,20.12999916
Nicaragua,18.20000076,18.12000084,17.87000084,17.67000008,17.70000076,17.70000076
Niger,7.179999828,7.159999847,7.130000114,7.059999943,6.980000019,6.909999847
Nigeria,10.14999962,10.94999981,11.81000042,11.89000034,11.93999958,12.02999973
North Macedonia,30,29.87000084,30.37999916,30.36000061,30.5,30.30999947
Northern Mariana Islands,0,0,0,0,0,0
Norway,20.25,20.22999954,20.31999969,20.44000053,20.12000084,19.46999931
Oman,35.99000168,35.68000031,34.83000183,34,33.22999954,32.52999878
Pakistan,21.77000046,22.31999969,22.92000008,22.87000084,24.02000046,23.59000015
Palau,0,0,0,0,0,0
Panama,18.73999977,18.25,20.13999939,20.07999992,18.71999931,18.38999939
Papua New Guinea,8.210000038,9,9.899999619,10.32999992,11.11999989,11.40999985
Paraguay,17.81999969,16.87999916,17.46999931,19.12999916,19.73999977,19.43000031
Peru,16.47999954,17.03000069,17.02000046,16.37000084,16.56999969,16.21999931
Philippines,15.27999973,15.27000046,15.57999992,15.93999958,16.19000053,17.36000061
Poland,30.67000008,30.42000008,30.54000092,30.54000092,30.54000092,31.45000076
Portugal,26.86000061,25.14999962,23.70000076,23.86000061,24.35000038,24.5
Puerto Rico,17.20000076,16.95000076,16.70999908,16.47999954,16.22999954,15.97000027
Qatar,54.11000061,51.79000092,51.70999908,52.95999908,54.13999939,54.54999924
Romania,28.55999947,28.20999908,28.29000092,28.93000031,28.45999908,29.87999916
Russian Federation,27.45000076,27.80999947,27.79000092,27.60000038,27.28000069,27.02000046
Rwanda,6.28000021,6.869999886,7.320000172,7.909999847,8.119999886,8.239999771
Samoa,23.92000008,23.78000069,23.82999992,24.01000023,24.62999916,24.69000053
San Marino,0,0,0,0,0,0
Sao Tome and Principe,18.11000061,18.18000031,18.23999977,18.23999977,18.23999977,18.22999954
Saudi Arabia,22.28000069,22.97999954,23.76000023,23.03000069,22.72999954,24.48999977
Senegal,12.81999969,12.84000015,12.89000034,12.94999981,12.98999977,13.01000023
Serbia,26.79999924,26.45999908,25.86000061,24.65999985,24.45999908,24.43000031
Seychelles,0,0,0,0,0,0
Sierra Leone,5.579999924,5.690000057,5.860000134,6.070000172,6.199999809,6.389999866
Singapore,20.87000084,20.54000092,19.87999916,17.73999977,17.38999939,16.87999916
Sint Maarten (Dutch part),0,0,0,0,0,0
Slovak Republic,37.49000168,37.54000092,35.81999969,35.45000076,36.11000061,36.47000122
Slovenia,31.65999985,30.96999931,31.03000069,30.93000031,32.00999832,33.16999817
Solomon Islands,8.430000305,8.779999733,9.329999924,9.770000458,10.25,10.63000011
Somalia,2.640000105,2.609999895,2.579999924,2.549999952,2.519999981,2.49000001
South Africa,24.17000008,23.44000053,23.51000023,23.42000008,23.82999992,23.32999992
South Sudan,17.88999939,17.72999954,18.88999939,18.71999931,17.34000015,16.45999908
Spain,21.76000023,20.67000008,19.75,19.45000076,19.89999962,19.61000061
Sri Lanka,25.79000092,26.06999969,26,26.32999992,25.77000046,26.38999939
St. Kitts and Nevis,0,0,0,0,0,0
St. Lucia,17.90999985,17.62999916,17.13999939,16.87000084,16.71999931,16.60000038
St. Martin (French part),0,0,0,0,0,0
St. Vincent and the Grenadines,20.35000038,20.21999931,20.25,20.01000023,20.04000092,19.97999954
Sudan,15.34000015,16.05999947,16.45999908,16.62999916,17.10000038,17.40999985
Suriname,24.95999908,24.92000008,25.04999924,25.10000038,25.07999992,24.45000076
Sweden,19.93000031,19.64999962,19.15999985,18.60000038,18.29000092,18.20000076
Switzerland,22.28000069,21.61000061,21.79000092,21.29000092,20.75,20.59000015
Syrian Arab Republic,31.43000031,28.23999977,25.03000069,23.35000038,22.77000046,22.55999947
Tajikistan,15.51000023,15.5,15.53999996,15.51000023,15.5,15.52999973
Tanzania,5.920000076,6.019999981,6.130000114,6.25,6.289999962,6.340000153
Thailand,19.44000053,19.81999969,20.23999977,23.52000046,23.68000031,23.68000031
Timor-Leste,9.56000042,9.869999886,10.89999962,11.64000034,13.44999981,15.36999989
Togo,12.67000008,12.64000034,12.72000027,12.72000027,14.69999981,16.92000008
Tonga,31.68000031,31.37999916,29.61000061,29.62000084,29.69000053,30.07999992
Trinidad and Tobago,28.57999992,28.52000046,28.73999977,28.12000084,27.94000053,27.37999916
Tunisia,33.72999954,33.13999939,33.38000107,33.54999924,33.09999847,33.34999847
Turkey,26.45999908,26.03000069,26.38999939,27.86000061,27.22999954,26.78000069
Turkmenistan,35.70000076,36.20000076,36.68999863,37.20999908,37.66999817,38.20000076
Turks and Caicos Islands,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0
Uganda,7.940000057,8.020000458,7,6.840000153,6.800000191,6.730000019
Ukraine,25.65999985,25.87999916,24.80999947,26.14999962,24.69000053,24.25
United Arab Emirates,35.11999893,34.93999863,34.74000168,34.79999924,34.99000168,34.86999893
United Kingdom,19.18000031,19.06999969,18.87000084,18.96999931,18.65999985,18.46999931
United States,19.70999908,19.73999977,19.95000076,19.97999954,19.86000061,19.78000069
Uruguay,20.78000069,21.12999916,21.57999992,21.01000023,20.45999908,20.04999924
Uzbekistan,22.73999977,22.70999908,22.72999954,22.78000069,22.89999962,23.05999947
Vanuatu,6.920000076,7.389999866,8.5,9,10.90999985,11.89000034
"Venezuela, RB",21.47999954,21.62000084,21.32999992,20.70000076,19.82999992,18.80999947
Vietnam,21.28000069,21.19000053,21.18000031,21.45000076,22.73999977,24.76000023
Virgin Islands (U.S.),21.85000038,20.71999931,20.12999916,19.87000084,19.65999985,19.48999977
West Bank and Gaza,25.93000031,26.70000076,28.06999969,28.02000046,28.72999954,30.22999954
"Yemen, Rep.",16.29999924,15.69999981,15.51000023,14.47999954,12.35999966,11.27999973
Zambia,9.359999657,10.10000038,10.32999992,10.48999977,10.60000038,10.68000031
Zimbabwe,9.090000153,8.600000381,7.920000076,7.360000134,7.210000038,7.050000191
