,Country,Mean Assistance (2011-2016),Mean CO2 (2011-2016),Mean Employment (2011-2016),Mean GDP (2011-2016)
0,Afghanistan,5308611735.0,9703.495,16.35166677,1961.2683329999998
1,Albania,297665006.0,4953.505,18.13666662,11050.33167
2,Algeria,153398334.5,139031.8617,30.90999985,12750.56833
3,Angola,257345001.2,35430.55667,7.741666714,7404.383333
4,Antigua and Barbuda,3886666.665,532.325,0.0,19435.21167
5,Argentina,57013332.84,196107.4917,23.71333313,19865.35
6,Armenia,311374994.9,5266.423333,16.62999996,9656.083333
10,Azerbaijan,144913333.9,36124.22833,14.24000009,15784.09
13,Bangladesh,2295588338.0,73239.77,19.254999800000004,3245.7583329999998
15,Belarus,88781668.04,61574.43,31.58499972,18047.65333
17,Belize,33210000.04,539.0516667,15.7750001,7296.51
18,Benin,562900004.1,5470.553333,18.42499987,2718.261667
20,Bhutan,116103332.5,976.035,10.08166647,8637.003333
21,Bolivia,678728322.4,19379.483330000003,20.88666693,6616.2
22,Bosnia and Herzegovina,524620015.5,21318.106669999997,30.16333326,11302.188329999999
23,Botswana,92403334.31,5568.95,18.01833344,15276.54333
24,Brazil,979488342.1,485556.0283,22.37166659,15065.653330000001
27,Burkina Faso,1055101644.0,2922.598333,27.88333289,1698.365
28,Burundi,546640004.5,418.03833330000003,3.36833334,754.8783333
29,Cabo Verde,207008332.6,524.995,22.55666637,5940.675
30,Cambodia,753003336.6,6918.408332999999,21.32666683,3129.126667
31,Cameroon,706343332.9,6727.111667,13.689999900000002,3080.4833329999997
34,Central African Republic,384016670.2,289.6933333,6.8450000289999995,868.595
35,Chad,502488332.1,954.0316667000001,2.089999993,1709.8766670000002
36,Chile,141365000.4,81935.44833,23.47833316,22202.06167
38,Colombia,1053653351.0,88075.23,19.998333300000002,12797.13667
39,Comoros,72111666.36,163.1816667,18.52666664,2629.223333
40,"Congo, Dem. Rep.",3009671672.0,3003.2733329999996,9.226666927,801.8133333
41,"Congo, Rep.",139065001.2,3020.388333,22.79666646,5378.2
42,Costa Rica,60566666.93,7635.306667,18.22500007,15491.351669999998
43,Cote d'Ivoire,1302003326.0,9823.893333,11.83333333,3394.31
49,Djibouti,160660001.1,564.1066667,13.22666677,4415.023333
50,Dominica,17795000.24,169.905,0.0,10714.995
51,Dominican Republic,212086664.9,22791.015,18.16666699,13429.58
52,Ecuador,201133336.4,40173.20667,18.79999987,10855.055
53,"Egypt, Arab Rep.",2708191676.0,223819.6233,24.58666674,10933.48
54,El Salvador,167196669.3,6640.938333,21.13000011,7125.615
55,Equatorial Guinea,9759999.832,7179.375,24.13500023,30802.39
56,Eritrea,99270000.46,665.5616667,7.599999905,270.91833330000003
58,Eswatini,109689999.9,1145.938333,25.20000045,8557.933332999999
59,Ethiopia,3588656657.0,11181.295,8.511666775,1446.966667
60,Fiji,97686667.15,1556.031667,15.04333337,10505.015
63,Gabon,79529998.14,5199.195,10.44166676,15077.675
64,"Gambia, The",115543333.7,484.045,15.69666656,2116.61
65,Georgia,554331665.0,8924.253333,11.10333331,10886.88667
67,Ghana,1523931681.0,14926.523330000002,16.01166661,4647.0783329999995
69,Grenada,17434999.78,265.2466667,0.0,12731.29833
70,Guatemala,351940007.5,13820.315,19.62833309,7661.181667
71,Guinea,495354995.7,2623.74,5.521666606,1842.2116670000003
72,Guinea-Bissau,118116667.4,266.4683333,8.788333257,1480.198333
73,Guyana,97424999.26,2020.5183329999998,25.09833304,10822.83
74,Haiti,1188639994.0,2553.453333,6.968333165,2877.776667
75,Honduras,518431666.1,9451.691667000001,20.69166692,4421.05
79,India,2708936707.0,2143245.3819999998,24.26000055,5158.445
81,"Iran, Islamic Rep.",116241666.1,630753.9467,32.94499938,15344.745
82,Iraq,1649536641.0,163475.4717,23.03999996,13122.995
86,Jamaica,53764998.75,7698.866667,15.37833325,8553.0
88,Jordan,1849684977.0,24742.47167,25.245000199999996,9334.056667
89,Kazakhstan,110155000.1,250428.5967,19.92666626,23180.96833
90,Kenya,2625383342.0,14782.9,6.055000146,2959.051667
91,Kiribati,66941666.29,57.45166667,0.0,1957.0833329999998
92,"Korea, Dem. Peopleâ€™s Rep.",121678332.0,31371.18333,14.3416667,0.0
94,Kosovo,517616663.6,8166.406667,0.0,9031.02
96,Kyrgyz Republic,561428334.6,9692.491667,21.12166659,4022.705
97,Lao PDR,425158335.4,7076.088333,10.22833331,5527.956667
99,Lebanon,787428324.4,23169.93833,25.74666659,15006.555
100,Lesotho,193238334.7,2406.776667,13.6333332,2722.118333
101,Liberia,754681681.4,1098.27,10.7183334,1276.665
102,Libya,234031663.3,52617.171669999996,24.82833322,15544.711669999999
107,Madagascar,533710001.6,3198.85,7.913333416,1554.013333
108,Malawi,1053981679.0,1170.385,5.679999987,1054.735
110,Maldives,32916666.98,1208.888333,17.84833336,15363.423330000001
111,Mali,1217233348.0,2747.805,7.858333429,1923.405
113,Marshall Islands,64571665.92,140.5683333,0.0,3418.21
114,Mauritania,330618331.9,2666.518333,17.85166677,4360.7
115,Mauritius,112243333.2,4121.706667,26.96999995,18317.02833
116,Mexico,647106679.3,486991.0467,24.73166625,17789.841669999998
117,"Micronesia, Fed. Sts.",111056667.3,133.2333333,0.0,3338.22
118,Moldova,396383326.2,4988.343333,18.10166677,8558.468333
119,Mongolia,348903335.6,29747.928330000002,19.32166672,10376.05667
120,Montenegro,105501665.8,2190.4233329999997,17.95499961,15518.31167
121,Morocco,1790128337.0,59564.913329999996,21.87833341,6846.39
122,Mozambique,1984794983.0,5568.338333,6.919999997000001,1156.261667
123,Myanmar,1485036687.0,17363.24667,16.553333600000002,4061.163333
124,Namibia,221746668.5,3467.1483329999996,15.57166656,9871.34
125,Nauru,29724999.75,44.615,0.0,9391.883333
126,Nepal,927514994.2,6902.516667,13.73166657,2389.531667
129,Nicaragua,480961675.0,4921.725,17.87666734,4871.838333
130,Niger,845441670.8,1848.1683329999998,7.069999932999999,1131.795
131,Nigeria,2275013346.0,123575.4583,11.46166658,5216.5
132,North Macedonia,188553334.5,7945.166667,30.23666668,13063.01333
135,Pakistan,3044531718.0,181451.1067,22.91500028,4189.5866670000005
136,Palau,21768332.96,220.63166669999998,0.0,16277.596669999999
137,Panama,1850001.17,10794.42667,19.05333296,22076.42167
138,Papua New Guinea,608178334.6,6092.721667,9.994999886,3579.0366670000003
139,Paraguay,87733334.86,5908.76,18.41166623,11087.82333
140,Peru,387211659.8,52226.63833,16.61500009,11272.735
141,Philippines,254810001.9,103098.315,15.93666681,6771.378333
147,Rwanda,1083679993.0,857.4666667000001,7.456666629,1647.076667
148,Samoa,99241667.42,214.5216667,24.14333344,5727.7
149,Sao Tome and Principe,52550001.15,113.06833329999999,18.20666663,3469.1416670000003
151,Senegal,972360005.8,9272.01,12.91666667,2845.776667
152,Serbia,760036677.0,43983.83167,25.44499969,14625.985
153,Seychelles,18244999.97,443.70833330000005,0.0,23249.24167
154,Sierra Leone,644470011.4,1098.27,5.964999993999999,1554.3816669999999
159,Solomon Islands,248143333.5,185.7933333,9.531666755,2429.8133329999996
160,Somalia,1116236664.0,626.4433333,2.564999978,0.0
161,South Africa,1239348328.0,471059.765,23.61666679,12390.936670000001
162,South Sudan,1374561671.0,1597.346667,17.83833281,1838.628
164,Sri Lanka,469470011.4,17918.79833,26.0583334,10868.91167
165,St. Kitts and Nevis,23435678.69,229.8,0.0,23201.70333
166,St. Lucia,22635000.23,408.8716667,17.14499982,13571.68
167,St. Vincent and the Grenadines,11183333.56,220.02,20.14166673,11179.66167
168,Sudan,1212055003.0,16904.87,16.49999968,4360.713333
169,Suriname,32233333.43,1980.7916670000002,24.92666658,15769.24167
172,Syrian Arab Republic,3939930029.0,37817.77,25.56333351,0.0
173,Tajikistan,369225001.0,3854.018333,15.51500002,2944.4516670000003
174,Tanzania,2708403320.0,10880.60167,6.158333381,2265.735
175,Thailand,67376669.58,277612.68,21.73000018,15286.516669999999
176,Timor-Leste,250576667.8,415.595,11.79833333,2608.695
177,Togo,265406669.6,2612.126667,13.72833348,1315.348333
178,Tonga,79861666.36,114.29,30.34333356,5547.481667
180,Tunisia,787901662.2,28285.405,33.37499936,10255.14167
181,Turkey,3074233358.0,340492.5633,26.79166667,23227.59333
182,Turkmenistan,34008333.2,67301.06332999999,36.94499969,12856.54
184,Tuvalu,33118333.5,10.38833333,0.0,3361.9916670000002
185,Uganda,1657825012.0,4759.765,7.221666813,2090.52
186,Ukraine,1119536641.0,246843.495,25.23999977,10166.811670000001
190,Uruguay,34185000.1,7376.1716670000005,20.83499972,19384.37833
191,Uzbekistan,330261667.9,105467.8083,22.8199997,6016.48
192,Vanuatu,117045000.7,130.78833329999998,9.101666689,2957.583333
193,"Venezuela, RB",43460000.99,178088.4667,20.62833341,2921.2416670000002
194,Vietnam,3636665039.0,165060.8383,22.10000038,5557.58
195,West Bank and Gaza,2300815002.0,2661.02,27.94666672,5482.028333
196,"Yemen, Rep.",1245326680.0,18875.27,14.27166637,3595.6016670000004
197,Zambia,982865000.5,4122.318333,10.26000007,3449.99
198,Zimbabwe,792470001.2,10780.37,7.871666829,2522.828333
